title,company,location,source,job_type,seniority,is_remote,country,tech_stack
Senior Engineer,Tesser,"New York,NY,United States",web3.career,Other,Senior,False,USA,
Product Engineer,The Lanes Group,"New York,NY,United States",web3.career,Product Manager,Mid,False,USA,
Senior Blockchain Developer,Swoon,"San Francisco,CA,United States",web3.career,Blockchain Developer,Senior,False,USA,
DeFi Developer New York,AAA Global,"New York,NY,United States",web3.career,DeFi Engineer,Mid,False,USA,
Engineer,ICME,"San Francisco,CA,United States",web3.career,Other,Mid,False,USA,
Backend Software Engineer Incubations,Sei Labs,"New York,NY,United States",web3.career,Backend Developer,Mid,False,USA,
Fullstack Software Engineer Incubations,Sei Labs,"New York,NY,United States",web3.career,Full Stack Developer,Mid,False,USA,
Software Engineer General,Sei Labs,"New York,NY,United States",web3.career,Other,Mid,False,USA,
Blockchain Consultant,Venusgeo Solutions,United States,web3.career,Other,Mid,False,USA,
Quantitative Risk Researcher,Divine,"San Francisco,CA,United States",web3.career,Research/Analyst,Mid,False,USA,
Chief Financial Officer,MLabs,"New York,NY,United States",web3.career,Executive/Lead,Lead,False,USA,
Trading Operations Analyst Associate,GSR,"New York,NY,United States",web3.career,Research/Analyst,Mid,False,USA,
Quantitative Trading Analyst,MLabs,"New York,NY,United States",web3.career,Research/Analyst,Mid,False,USA,
Vice President Consulting,Consello,"New York,NY,United States",web3.career,Other,Mid,False,USA,
Head of Marketing,MLabs,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Escalation Engineer AI Security,Zscaler,Remote,web3.career,Security/Auditor,Mid,True,Remote,
Solution Architect,Zscaler,Remote,web3.career,Other,Mid,True,Remote,
Technical Success Manager,Zscaler,Remote,web3.career,Other,Mid,True,Remote,
Senior Technical Success ManagerAMS,Zscaler,Remote,web3.career,Other,Senior,True,Remote,
Software Engineer II AI ML,Zinnia,Remote,web3.career,Data/AI,Mid,True,Remote,
Software Engineer II AI Creative,Zinnia,Remote,web3.career,Data/AI,Mid,True,Remote,
Senior Software Engineer I API,Zinnia,Remote,web3.career,Other,Senior,True,Remote,
Senior Software Engineer I,Zinnia,Remote,web3.career,Other,Senior,True,Remote,
Senior Product Security Engineer,Zinnia,Remote,web3.career,Security/Auditor,Senior,True,Remote,
Senior Product Manager Technical,Zinnia,Remote,web3.career,Product Manager,Senior,True,Remote,
Senior Product Manager SOR,Zinnia,Remote,web3.career,Product Manager,Senior,True,Remote,
Product Manager Technical Insurance Background,Zinnia,Remote,web3.career,Product Manager,Mid,True,Remote,
Product Manager Technical,Zinnia,Remote,web3.career,Product Manager,Mid,True,Remote,
Product Security Engineer – DeFi,Falconx,Remote,web3.career,DeFi Engineer,Mid,True,Remote,
Head of Credit Capital Markets,Keyrock,"London,United Kingdom",web3.career,Executive/Lead,Lead,False,UK,
Software Engineer Generalist,Aztec,"New York,NY,United States",web3.career,Other,Mid,False,USA,
Blockchain Engineer Smart Contract,Omen,"New York,NY,United States",web3.career,Smart Contract Developer,Mid,False,USA,
Director of Marketing,Hivemind Capital,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Lifecycle Marketing Lead,Polymarket,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Field Marketing Intern,Alliedglobalmarketing,Remote,web3.career,Marketing/Growth,Junior,True,Remote,
Senior Product Manager Campaign Operations,Okx,Remote,web3.career,Product Manager,Senior,True,Remote,
Growth Marketing and Community Lead Contract Remote,Ares,Remote,web3.career,Community,Lead,True,Remote,
Director of Marketing,Hivemind Capital Partners,"New York,NY,United States",web3.career,Marketing/Growth,Lead,False,USA,
Product Marketing Manager,Windranger Labs,"Singapore,Singapore",web3.career,Product Manager,Mid,False,Singapore,
Associate Growth Marketer API L1,CoinGecko,Malaysia,web3.career,Marketing/Growth,Mid,False,Other,
Crypto Communications and Public Relations Manager Remote Global,Token Metrics Inc.,"London,United Kingdom",web3.career,Other,Mid,False,UK,
Product Marketing Manager,Pulley,Remote,web3.career,Product Manager,Mid,True,Remote,
Binance Accelerator Program Marketing Australia New Zealand,Binance,"Auckland,New Zealand",web3.career,Marketing/Growth,Mid,False,Other,
Marketing Lead AIVM Blockchain Middle East,ChainGPT,Remote,web3.career,Marketing/Growth,Lead,True,Remote,
Product Marketing Manager,solflare,"Zagreb,Croatia",web3.career,Product Manager,Mid,False,Other,
Marketing Lead AIVM Blockchain Europe,ChainGPT,Remote,web3.career,Marketing/Growth,Lead,True,Remote,
Manager National Field Training Immunology Account Executives,BioSpace,United States,web3.career,Other,Mid,False,USA,
Sales Development Representative Crypto Web3,Worldpay,United States,web3.career,Other,Mid,False,USA,
Lead Product Manager Compliance and Fraud,Zinnia,Remote,web3.career,Product Manager,Lead,True,Remote,
IT Automation Engineer,Zinnia,Remote,web3.career,Other,Mid,True,Remote,
Director Technical Product Management,Zinnia,Remote,web3.career,Product Manager,Lead,True,Remote,
CIAM Software Engineer III,Zinnia,Remote,web3.career,Other,Mid,True,Remote,
API Sr Software Engineer I,Zinnia,Remote,web3.career,Other,Mid,True,Remote,
Finance Specialist Tax,Zinnia,Remote,web3.career,Other,Mid,True,Remote,
Smart Contract Engineer,Wormholefoundation,Remote,web3.career,Smart Contract Developer,Mid,True,Remote,
PhD Research Fellow,Uniswaplabs,Remote,web3.career,Research/Analyst,Mid,True,Remote,
Senior Frontend Engineer,Uniswaplabs,Remote,web3.career,Frontend Developer,Senior,True,Remote,
General Manager,Telcoin,Remote,web3.career,Other,Mid,True,Remote,
Senior Product Manager,Scrollio,Remote,web3.career,Product Manager,Senior,True,Remote,
Financial Crime Investigations Specialist 3 month FTC,Rampnetwork,Remote,web3.career,Other,Mid,True,Remote,
Senior Legal Counsel 6 month FTC,Rampnetwork,Remote,web3.career,Compliance/Legal,Senior,True,Remote,
Backend Engineer,Pulley,Remote,web3.career,Backend Developer,Mid,True,Remote,
Administration Lead Event Staff Welfare Management,Okx,Remote,web3.career,Executive/Lead,Senior,True,Remote,
Solidity Smart Contract Developer Oracle,Coin Market Cap Ltd,"Dubai,United Arab Emirates",web3.career,Smart Contract Developer,Mid,False,Other,
Junior Blockchain Engineer,Hatch Pros,United States,web3.career,Blockchain Developer,Junior,False,USA,
Backend Engineer Market Making,Arrakis Finance,"Zug,Switzerland",web3.career,Backend Developer,Mid,False,Other,
Senior Engineering Lead,Arrakis Finance,Switzerland,web3.career,Executive/Lead,Senior,False,Other,
