title,company,location,source,job_type,seniority,is_remote,country,tech_stack,cluster
Head of Product and UX,"Fedi, Inc.",Remote,web3.career,Product Manager,Lead,True,Remote,[],0
Senior Brand & Design Systems Lead,ZIGCHAIN,Remote,web3.career,Designer,Senior,True,Remote,[],0
Senior Visual Designer,CoW DAO,Remote,web3.career,Designer,Senior,True,Remote,[],0
"Senior Smart Contract & Backend Developer (Solidity, TypeScript)",Ghaf Group,Remote,web3.career,Smart Contract Developer,Senior,True,Remote,"['solidity', 'typescript']",1
Chief Executive Officer (CEO),Rally,Remote,web3.career,Executive/Lead,Lead,True,Remote,[],0
ZIGChain Blockchain Engineer,ZIGChain,Remote,web3.career,Blockchain Developer,Mid,True,Remote,[],0
Commercial Director (Contractor),TrustSec,Remote,web3.career,Executive/Lead,Lead,True,Remote,[],0
Front End Engineer,Blackwing,"Williamsburg, Brooklyn (Hybrid)",web3.career,Frontend Developer,Mid,False,Other,[],0
Backend Engineer,Blackwing,"Williamsburg, Brooklyn (Hybrid)",web3.career,Backend Developer,Mid,False,Other,[],0
Head of Growth & Capital Markets (TVL / AUM Lead),Tharwa,Remote,web3.career,Marketing/Growth,Lead,True,Remote,[],0
Solana Program Engineer,Baton Corporation Ltd,"New York,NY,United States",web3.career,Rust/Solana Developer,Mid,False,USA,['solana'],2
DeFi Engineer,Mysten Labs,United States,web3.career,DeFi Engineer,Mid,False,USA,[],3
Security Engineer Web3,moomoo,"Hong Kong,Hong Kong",web3.career,Blockchain Developer,Mid,False,Hong Kong,[],0
Solana Program Engineer,MLabs,"New York,NY,United States",web3.career,Rust/Solana Developer,Mid,False,USA,['solana'],2
Blockchain Developer,RockawayX,"Prague,Czech Republic",web3.career,Blockchain Developer,Mid,False,Other,[],0
Senior PR Manager Asia,Binance,"Tokyo,Japan",web3.career,Marketing/Growth,Senior,False,Japan,[],0
Senior Growth Engagement Manager Crypto,Robinhood,"Ljubljana,Slovenia",web3.career,Marketing/Growth,Senior,False,Other,[],0
QA Lead 100% remote,Tether,"Delhi,India",web3.career,QA/Testing,Lead,False,India,[],0
Head of Legal,Confirmo,"Dublin,Ireland",web3.career,Compliance/Legal,Lead,False,Other,[],0
Security Engineer – SIEM Platm Google SecOps,MoonPay,Remote,web3.career,Security/Auditor,Mid,True,Remote,['go'],4
Technical AI Product Manager,Coin Market Cap Ltd,"Dubai,United Arab Emirates",web3.career,Data/AI,Mid,False,UAE,[],3
Rust Developer — EVM Systems Trading Infrastructure,1010 trading,Remote,web3.career,Rust/Solana Developer,Mid,True,Remote,['rust'],0
Senior Blockchain Backend Engineer,DecryptCode INC,Remote,web3.career,Blockchain Developer,Senior,True,Remote,[],0
Executive Escalation Analyst III,Coinbase,Remote,web3.career,Research/Analyst,Mid,True,Remote,[],0
Consumer L D SME Trainer Lead Analyst,Coinbase,Remote,web3.career,Research/Analyst,Lead,True,Remote,[],0
Senior Backend Engineer 100% Remote,Tether,"London,United Kingdom",web3.career,Backend Developer,Senior,False,UK,[],3
Software Architect 100% Remote,Tether,"Bucharest,Romania",web3.career,Other,Mid,False,Other,[],0
DevOps Engineer 100% remote,Tether,"Delhi,India",web3.career,DevOps/Infrastructure,Mid,False,India,[],0
Senior Full Stack Engineer,Bcbgroup,Remote,web3.career,Full Stack Developer,Senior,True,Remote,[],0
Full Stack Engineer,Bcbgroup,Remote,web3.career,Full Stack Developer,Mid,True,Remote,[],0
Risk Transmation Lead,Bcbgroup,Remote,web3.career,Executive/Lead,Lead,True,Remote,[],0
Senior Technical Business Analyst,Bcbgroup,Remote,web3.career,Research/Analyst,Senior,True,Remote,[],0
Senior Product Marketing Manager,Bcbgroup,Remote,web3.career,Product Manager,Senior,True,Remote,[],0
